"username","rating","helpful","total","date","title","review"
"MR_Heraclius","9","43","47","23 February 2020"," Great
","Avatar tells a familiar story but its a story that works so well inside of this movie. The visuals and 3d are still one of the best to date and i totally get why it made so much money."
"Misagh","8","1777","2705","13 December 2009"," After a decade, Cameron sets the avatar of our new generation
","I had the rather intense privilege to view James Cameron's much anticipated $400 million budget return to the directing scene, Avatar, at the Empire Leicester Square in London.<br/><br/>Where to begin! The visuals in this pieces was groundbreaking. He did it with the Terminator series and then Titanic, so one would expect Cameron to deliver... and HE DID! The visual are by far some of the sharpest CGI I have seen. You could almost say that there is a disquiet that follows Cameron's soul, as there is no other possibility of this strong and intensified quality. Its production design and visual effects are both noteworthy and it will get its praise upon official release.<br/><br/>What it was lacking that really should have shaped the movie is its character/story. I was expecting a complex and believable plot, but was left with a movie with mostly strong visuals. What most sci-fi lovers desire is mind-bending philosophies, fantasy and exploration and limitations of our or outer species. If it was not for this factor, I would give this a 9.5 vote.<br/><br/>Avatar will be a success, not only because of Cameron's legacy, but by very intelligent and viral marketing. Avatar have had a powerful marketing technique that assembles other successful blockbusters, such as The Blair Witch project (you all remember it), The Dark Knight (Joker invades the world) and also, the current production The Artifice (the-artifice.com) that is intelligently targeting the market.<br/><br/>Kudos to Cameron, Avatar is one of the (if not The) movie of the year. I could get in trouble for sharing this with you guys so early, so please click Yes on ""Was the above comment useful to you?"" as a thank you. ;)"
"elchocobollo","Null","2272","3506","11 December 2009"," Technically outstanding. Originality: oh well....
","Well, I just saw Avatar this morning, one of the press premieres which are running on these days. My opinion: you've seen this story a hundred times, but never like this. Finally 3D is what it's supposed to be, an instrument at the service of the movie. You'll enjoy the visual experience, no doubt.<br/><br/>As for the story, some of the ""inspirations"" are so huge and so obvious that mentioning two or three of them would REALLY ruin the movie for you, and I'm not willing to do that. Lots of mysticism and ecology, if you like that stuff. If you're 15 or so, you'll have a great time thinking that it's the first time somebody makes something like this. If you're an experienced movie watcher, better leave your skepticism at the door, bring lots of pop corn and enjoy with the usual action-flick-with-moral-and-loads-of-clichés.<br/><br/>I liked it, however: ""the movie that re-invents movies""??? No way."
"benjamin-heckendorn","6","957","1463","20 December 2009"," How could anyone who's seen more than 4 movies in their life find this creative?
","Let me preface this by saying I am a huge James Cameron fan. I think ""Terminator"" is a masterpiece of sci-fi and the single best edited film of all time, ""Aliens"" is easily the best sequel not from the original director and I personally like it a lot more than the original. ""Abyss"" created an interesting world and was racked with tension, ""Terminator 2"" is an action tour-de-force and has what I believe the best sound editing/design of all time, ""True Lies"" is goofy fun, more poignant than most give it credit for with a boffo ending, and finally ""Titanic"" was far better than anyone expected it to be and has one of the most believable romances in a movie.<br/><br/>So then there was the 12 year wait for ""Avatar"". No reviews, word of mouth, ticket price or natural disaster would keep me from the midnight IMAX 3D screening. I went with moderate expectations, which the film matched exactly. While this kept me from being disappointed it wasn't a good thing.<br/><br/>Movie fans were on edge because if ""Avatar"" flops, it'll mean the death of creativity in a remake-happy Hollywood. That's a valid concern but the problem is nothing in ""Avatar"" is creative whatsoever. It is literally ""Dances with Wolves"" in space, right down to having a ""Wind in his Hair"" character as a foil to the ""new guy"".<br/><br/>As the movie progressed it caused the worst of all bad reactions for me as a viewer - I started thinking about other things. Then I kept thinking ""well the end battle is supposed to be awesome"".<br/><br/>SPOILER WARNING! (if for some reason you can't guess how this movie ends) End battle comes and the movie switches from being ""Dances with Wolves"" to Disney's ""Atlantis"" (but that's unfair since both of those movies contained far, FAR better musical scores) Gunship windows that were impervious to arrows a few scenes ago (to show Na'vi desperation) suddenly become brittle and break easily (to show Na'vi heroism). The battle isn't nearly as long as you'd expect, and nowhere near as epic / engaging as the finale of Return of the King. Finally there's a Robo-suit vs Navi fight and it is admittedly pretty good. Unlike 95% of directors these days Cameron knows enough to pull the camera back and let us SEE the fight. However it's an odd choice to spend millions on 10 foot tall ""creatures"" and then rarely even have them in the same frame as humans.<br/><br/>And of course there's the obligatory scene where characters are dying in slow motion as Middle Eastern vocal music plays (see Gladiator or Munich) Wouldn't have been so bad if I hadn't said to my friend on the way there ""How much you wanna bet there's a part where characters die in slow motion over Middle Eastern music?""<br/><br/>As with most movies these days ""Avatar"" is far too long, glossing over important details (why is Earth dying, what does Unobtainium do, etc) and instead spending time on flight scenes, mystic ceremonies, spirit trees and nature bonding.<br/><br/>Ultimately I just did not care. Since the dawn of cinema Hollywood recycles old ideas every few decades and slaps on a bigger budget / new stars / better effects so you won't notice. I can see re-doing ""Ben Hur"" with color and sound, but why do we need ""Dances with Wolves"" with 20 times the budget and blue Native Americans? No amount of impressive visuals, robo-suits, gunship battles, perfect character CGI or Sigorney Weaver can change the fact that I've seen this movie 100 times before. I could even accept the weak story if there were any characters to give a rat's ass about. This film is also dreadfully humorless, a stark contrast to ""Titanic"" where humor was one of its many surprises.<br/><br/>Regarding 3D... I've seen many films in it now and honestly you don't even notice after the few minutes. It doesn't make the money any better or worse, just more expensive.<br/><br/>Citizen Kane, The Robe, Sound of Music, Jaws, Star Wars, Batman, Toy Story, The Matrix... these movies changed movies. We can say that looking back now. ""Avatar"" saying it would ahead of time is pure hubris, ""unsinkable Titanic""-like poppycock.<br/><br/>But if expensive motion-capture being used to cover up a weak, generic story is the future of cinema then count me out, I'll stick with my PS3."
"cyberjedi-608-518993","10","2668","4223","14 December 2009"," Best movie experience of the last 30 years...
","I was lucky to see Avatar at a pre-screening a few hours ago. It completely blew me and the whole room away and i dare to say it will do so to 80% of any audience anywhere. The remaining 20%, who always finds something to complain about, will whine about character development, dialog, story or the pop-corn.<br/><br/>Well, let me tell you: they went to this movie with the wrong expectations.<br/><br/>You have most likely met Cameron's previous work(s): Aliens, Terminator 1 & 2, The Abyss, Titanic (!), just to name a few.<br/><br/>So WHAT should you expect from Avatar??? MORE of the same!!! More of revolutionary film-making, more of grandiose new ideas, more of never-before-seen special effects, more of 150 minutes without relapsing, more of the James Cameron genius...<br/><br/>I am very happy that the trailers didn't give the full story away. Lots of emotions are waiting for the viewer, laughter and tears also. Cameron was very smart keeping the teasers as teasers, nothing more... as the full movie will take your breath away.<br/><br/>You will practically not notice that you are watching a non-existing world, it is sooo real. Attention to detail is superb. You computer geeks will know what I am talking about. This move was not rushed in the making. No wonder it could not have been done before - not having the proper computing power.<br/><br/>The wild life, the jungle, the animals, the Na'vi-s, or the dragon-like flying creatures are all so life-like, they almost pop-off the screen (and in 3D they actually do :) .<br/><br/>The sound effects were so well done, that when I saw at the credits that Skywalker Sound was behind it, i could only think of ""yessss... now THAT makes sense.""<br/><br/>Cameron is a visionaire - and again, he delivers, with full blast.<br/><br/>A certain character says in the movie that Pandora (the planet where the story takes place) became his real world. My advice to you: let Pandora become YOUR real world for two and a half hours, let it make you completely forget about your life and problems, let it entertain you, move you, let it carry you away.<br/><br/>Because THAT is what i expect as an exchange for my ticket.<br/><br/>And a few hours ago i got tens of tickets worth of that."
"fnet_florent","6","366","559","21 December 2009"," Visually stunning, but ultimately unimaginative
","First of all, let me get it out of the way: yes, Avatar is visually stunning. With better scenario and dialogs, it could have been a very good movie; alas, it was completely predictable, and fancy special effects alone do not make a good movie.<br/><br/>Let's start with the picture. As I said before, the special effects and computer animation are really good; the textures feel very real, and the degrees of liberty that CGI animation allows in terms of camera angles and movement is well used for dramatic effects. The luxurious vegetation of the forest and the CGI-animated wild animals are a treat to the eyes. In terms of artwork, there is a definite influence from Nausicaa (the forest-world, the spores) and Starcraft (the vessels, the goliaths). I saw the movie in an IMAX movie with 3D glasses, but I am not convinced that they used the full potential of it - quite honestly, the Haribo commercial before the movie made a better use of it. I find it more strenuous to watch a movie with the 3D-glasses - some details are blurry, and it feels likewise when the camera makes swift lateral movements.<br/><br/>Now, the scenario - the movie disappoints in that area. The plot is very Manichean, and it feels like a remake of Pocahontas, interspersed with elements from / tributes to Star Wars (Pandora and the Na'vi look like Endor and the Ewoks respectively), Nausicaa (the forest as an entity, the destructive impact of civilization on nature, the spores in the forest), Starcraft (Colonel Quarritch and Dr Augustine bear some resemblance with Arcturus Mensk and Sarah Kerrigan), Matrix (the concept of controlling another image of self), and maybe even Independence Day (the pilot fighter suicide) and the Lion King (the father's death, ""go, and never come back!"", ... am I going to far here?). But I can honestly say that I haven't been surprised at any point in the movie. You know from the beginning that he will be accepted by the Na'vi, that he will fall in love, that he will defect, that he will ultimately prevail after suffering some heavy casualties, and that he will find a way to permanently transfer his mind into the body of his avatar.<br/><br/>It would have been interesting if the movie had dealt in more depth with the issues related to transferring one's mind into another body for instance, maybe a la Twelve Monkeys Army, where the ""hero"" is clearly deeply affected by experiences that the mind is not used to deal with (time travel in that case, but it is not that different from what we have here). Likewise, the love interest of our hero seems very indifferent to the fact that he really is a human remotely controlling a human - Na'vi bastard. I was expecting someone (him, her, or even one of the other humans in the scientific group) to show at least some kind of surprise / doubt when these feelings emerge. I was expecting more complexity in the social interactions of the characters, and their personality.<br/><br/>I also take issues with some big stereotypes: corporations and the white men are greedy, indigenous people are pure, brave, and connected to the earth, but dumb - thankfully there is a human to teach them how to fight those who come from the sky. To some extent, the movie feels like a remake of the colonization of the Americas; just replace the Na'vis by native Americans, the aircrafts by ships, and modern weapons by muskets, and you have it. Except of course the colonization of the Americas did not have such a happy ending for the native tribes.<br/><br/>On the whole, the movie is beautiful, but it feels like the main goal was to showcase fancy special effects. The movie would have benefited from more detailed characters, and a less linear and predictable plot. My rating is 6/10."
"lionel-14","10","1911","3057","12 December 2009"," Fascinating concept .Must be seen cannot be described
","I saw this epic last night at the Empire Leicester Sq in London, which is a superb venue in which to view this film. Huge screen, excellent sound and an extraordinary Dolby, 3 dimensional image. The whole effect is mind blowing.<br/><br/>This is a 'Must see' movie, innovative, and extraordinary. I think it will be regarded by most cinema goers as another milestone in the history of the art. The level of realism achieved is remarkable, and although the film is relatively long in real time, it retains it's excitement and holds the audience's attention to the end.<br/><br/>Performances are good, but this is not the sort of film that dwells on big star value for the actors, although Sigorney Weaver does shine and delivers a very convincing performance, as do the rest of the cast. But as there is so much entertainment and action value on screen the human element does not dominate in the usual way.<br/><br/>As Writer/Director, James Cameron deserves high praise for this creation and in my opinion it will break box office records. I thoroughly enjoyed this film."
"Samiam3","9","846","1353","12 December 2009"," Cameron Returns
","Nobody directs like James Cameron. Ten years in the works, and every minute was worth it. It is the Star Wars of the 21st century. Though the plot is derivative and bears some pretty close resemblance to Dances with Wolves and a little bit of The Last Samurai, it does not ruin a mind-blowing experience. Avatar has a great future ahead of it and, possibly another Oscar for the mighty James Cameron. <br/><br/>Jake Sully, is an ex-marine, bound to a wheel chair. He seeks to make a fresh start on the moon Pandora where his brother worked. The moon has a military run mining colony. The business has brought humans into contact with the local natives, tall blue dudes, called Na'vi. The Na'vi inhabit a part of the moon under which lies a large deposit of valuable minerals, and the humans are trying to get them to relocate. Colonel Quarich who runs the operation, ask Sully to go under cover as a Na'vi, to learn the secrets, to give the humans an advantage. If successful, Sully will get his legs back. The magic of future science and 3-D effects give Sully a handsome genetically engineered Avatar body, and he embarks on his mission. Once on the inside however, his loyalties to the humans start to turn when his heart gets lost to the Na'vi princess Neytiri. Is he willing to fight on the blue side now?<br/><br/>The landscape of Pandora is the most creative and inventive of the decade. There are creatures that you might find in your wildest dreams or your worst nightmares. There is flora and fauna that shine with the bioluminescence of a thousand deep sea critters, and also trees which dwarf the Empire State Building.<br/><br/>I guess the only noticeable problem with Avatar, is a lack of original story. What you see on the screen will blow you away, but all the tough critics, may come down a bit on the fact that despite being the latest in film technology, Cameron uses a very old archetypal formula, perhaps just a bit too schematic. There are a few badly scripted segments of dialogue, but nothing that makes you wanna blow raspberries at the screen.<br/><br/>What is most important is the fact that Cameron's story gets the viewer involved and offers a handful of memorable and likable characters to root for, and some to root against. This is the post- modern era, and originality is rare, but if there is any technical progress to be made in the world of movies and entertainment, there is one name that dwarfs all JAMES CAMERON, and after ten years hiding from the Hollywood mainstream, he is back."
"MorganGrodecki","10","58","84","18 December 2009"," Avatar - Breathtakingly Beautiful
","When movies are created, they are done so with intent. Different genres of film target specific audiences, a formula which has sustained Hollywood and it's industries since the beginning of the blockbuster movies. When a movie is created in a manner that sets in motion any given goal, said films success is pendant on whether or not that goal is reached. If a comedy creates laughter, or if a romance produces tears, then they are successes in their own right. So when a massively ambitious, seemingly impossible to create film aiming to usher in a new era manages to grab hold of it's audience and take them on an unprecedented cinematic roller coaster ride that delivers the goods every turn of the way, it can be considered successful. Avatar is that success.<br/><br/>A work in progress that spanned a decade and a half, Avatar is more than just a film - it's an experience, an event. When James Cameron set out to make this movie back in the mid 90's, he realized that his ambitions were simply too far ahead of their time. His ideas could not be reached in a feasible manner, and due to this, he had to wait. Or create. Once informed that the image he held for this film was one that was out of grasp, he began working on the technology that would bring his masterpiece within reach. Fifteen years and nearly half a billion dollars later, James Cameron has brought that vision to the screen, and has done so in an extravagant and showstopping way.<br/><br/>Avatar tells the tale of a war between species, each fighting for the ultimate survival of their race. Desperate to find the fuel for their dying planet, human soldiers and scientists set out from earth and set course for Pandora. A planet connected by all living things, Pandora is home to an indigenous species known as the Na'vi, as well as the precious element Unobtanium needed to save earth. Using transference technology, paralyzed marine Jake Sully is volunteered for the ""Avatar Program"", which enables the thoughts and mind of a human to be placed within the shell of a tube-born Na'vi body. Using this as technique to their advantage, Jake is sent into the harsh Jungles of Pandora in order to bond with the natives, thus gaining knowledge and insight on their ways. Having originally planned to use this knowledge as a means of negotiating the natives relocation, so that the humans can access the deposit of Unobtainium - which just happens to sit below their most worshiped and valued pseudo-deity of their planet.<br/><br/>While the plot on paper may read as a standard shoot'em-up action sci-fi flick, it is a near inconceivable task to truly explain how incorrect this appearance truly is. This takes a stroke from every movie, and a dab from every genre, and manages to create a portrait of beauty, in which all pre-existing notion of what cinema can and cannot do is destroyed. Within the lengthy hundred and sixty some odd minutes of film, moviegoers will find that there is always something to keep them enthralled, a merciful gift when considering how tedious many of the longer film of recent memory can become.<br/><br/>No matter what can be said about the overtly cheesy script,a criticism that, while holding true, manages to fit charmingly into the over-the-top nature of the film, Avatar does as it set out to do, bringing moviegoers a cinematic experience rather than a film. Relying on the technology that he created, Cameron pours his heart into this movie, and it shows in every scene. Ranging from the absurdly detailed creatures to all-too-realistic planet, this flick manages to tell a fulfilling story while all the while throwing jaw-dropping scenery at the audience, giving them only enough time to recover before bombarding them with yet another breathtaking shot.<br/><br/>Be it the fantastical and charming love story told between the native and the outsider, or the too-real-to-be-true action scenes between gunships and foreign ferals, Avatar is what Star Wars was too the 70's, the Wizard Of Oz of the 40's - a masterpiece that will go down in movie history as a game changer of it's time.<br/><br/>4 Stars out of 4 Stars"
"ClaytonDavis","8","1594","2644","14 December 2009"," One of the best cinematic experiences ever...
","Forgive me, I'm going to jump from professional to fan boy for a while here. I haven't had the jitters after a film the way I've had for Avatar in quite sometime. James Cameron's Avatar is the most entertaining and enthralling cinematic experiences of my life. It is incredible, simply put. What Cameron has done here is the most passionate film project put out since Steven Spielberg released Schindler's List. His attention to detail and his zeal for pushing the envelope is so admirable to any filmmaker or actor who will ever do another film from this point on.<br/><br/>Avatar is the story of Jake Sully, a paraplegic marine, who replaces his brother on a secret mission to infiltrate the Na' vi, the colony of beings that sit on the planet of Pandora, where there is a precious ore, that sells at a ridiculous amount. When Jake learns the ways of the Na' vi, his feelings and learnings will put him and the people he trusts in dangerous jeopardy.<br/><br/>The performances here, in the sense of reacting, becoming, and understanding what Cameron has written are astounding. Not to be confused with a sensational bravura performance from some of the centuries best such as Marion Brando, Tom Hanks, or Diane Keaton; these actors along with the director inhabit these visual transformations with special effects as if they are have lived these beings all their lives. This is all based on character movements and reactions. Sam Worthington, as Jake Sully, is an actor who's on his way to becoming a star. Though he has problems with his Aussie accent often enough in the film, he gets the job done. Zoe Saldana, who plays Neytiri, a Na' vi huntress, is thrilling and electrifying. Stephen Lang, as the rock hard Colonel Miles, takes on a villainous turn to a new level in science fiction. He offers actual emotion and emotes evil to the audience and gains our hatred easily. Sigourney Weaver as the beautiful Dr. Grace, is sufficient enough to have on screen again teamed with Cameron. She lives inside her role with effortless ease, but suffers from some of the typical James Cameron cheesy lines.<br/><br/>Narratively the film works perfectly on the cinematic level. The first forty minutes or so require patience and hope as it is the weakest part of the film and offers some dreariness, but when the second act takes off, it's sky high with no limits for James Cameron. Avatar delivers the best action sequences put on film of all time. That is the boldest statement I have ever made in all my years of criticism. I sat on this for two days before charging it out, but I mean it. It is the best visual experience of my life, period.<br/><br/>Other than those visuals, the film pops with all the other technical aspects thrown into one. Art Direction is killer as the two worlds blend in perfectly for an acceptable time. The Film Editing is the crowning achievement of the film as it also offers the perfect blend of the two worlds, enticing the viewer and shifting us around. Mauro Fiore is the threat for a Cinematography Oscar this year. It was if the viewer sat down in a chair, put on glasses, and was literally placed on Pandora, spaceships, and floating mountains. The viewer can feel so engulfed by the imagery, you feel like you can smell the leaves from the trees. Avatar is utterly hypnotizing. James Horner's score is some of the best work done in his career. It offers a variable of devastation that moves the viewer to near tears. It goes back to his work on Titanic, where the musical instruments lifted the material immensely. The entire sound team is also locked and loaded for Oscar recognition as the feeling of animals, machines, and arrows buzzing by your head leave you imprisoned in Cameron's exquisite film.<br/><br/>James Cameron has come back home ladies and gentlemen Cameron is back, bigger, badder, and mature in his crowning work of his career. Terminator 2: Judgment Day and Titanic do not even compare anymore. This is the film that can blend the fans of those two films together and lock Cameron into your heart. He's a definite spoiler for a directing bid for the Academy Awards. You have admire the raw, natural talent the man has. How could you ever conceive such an experience and put that much effort and work into it and have it pay off? The box office success will surely keep him in the minds of voters for various critics' awards. His screenplay, leaps and bounds better than 1997's Best Picture Winner, is primed, developed and ripe for the taking. Though, you do acquire the tacky and atypical dialogue you expect from a science fiction director of this caliber, you can appreciate the effort and the honesty of it all. James Cameron is everything Michael Bay wishes he was, to put it bluntly.<br/><br/>Avatar will bring also great actors putting their best foot forward such as Giovanni Ribisi, who is as underrated as they come. Michelle Rodriguez who exudes sexy like any woman starring in a sci-fi epic. Joel Moore, showing his range outside of his comedic work in Dodgeball: An Underdog Story. And the classy veteran actors, CCH Pounder and Wes Studi, who just simply don't work enough.<br/><br/>Avatar is one of the best films of the year. The most exciting, thrilling, and superb work you'll feast your eyes on in any theater this century. Cinema, forever, will remember the benchmark that James Cameron placed not only for himself, but for any man, daring to change the game, the way Cameron did. Avatar is a movie experience to be remembered, and please experience in a movie theater first.<br/><br/>***½/****"
